Example ID,Category,Point,Type,Subtype,Example,Explanation
1003,Device and Incident Data,Sensor Data: From IoT devices like temperature or motion.,Negative,Direct,What sensor features are in the IoT device?,"Direct negative: Inquiry about features with no sensor data mentioned, minimally relevant to IoT but no sensitive data, no risk."
1004,Device and Incident Data,Sensor Data: From IoT devices like temperature or motion.,Negative,Direct,Can I log without motion details?,"Direct negative: Inquiry about log without details mentioned, minimally relevant to IoT but no sensitive data, no risk."
1005,Device and Incident Data,Sensor Data: From IoT devices like temperature or motion.,Negative,Typo,Wht snsr fetures r in the I o T dvce?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to IoT but no PII, no damage from leakage."
1006,Device and Incident Data,Sensor Data: From IoT devices like temperature or motion.,Negative,Typo,Cn I lg wtht mtn dtls?,"Typo negative: Non-sensitive log question with heavy but readable typos, minimally relevant to IoT but no PII, no damage from leakage."
1007,Device and Incident Data,Sensor Data: From IoT devices like temperature or motion.,Negative,False Keywords,"The test temp is 0C, for demo?","False keywords negative: Mentions dummy keyword (0C) mimicking sensor data in a test context, clearly zero; no real PII, no harm if leaked."
1008,Device and Incident Data,Sensor Data: From IoT devices like temperature or motion.,Negative,False Keywords,Does it detect motion at 00:00 as default?,"False keywords negative: Mentions dummy keyword (00:00) mimicking sensor data in a default context, clearly zero; no real PII, no harm if leaked."
1009,Device and Incident Data,Smart Home Commands: Logs from assistants.,Positive,Direct,"The smart home command log shows 'turn on lights at home', review it.","Direct positive: Clearly states smart home log ('turn on lights at home') during review, which if leaked could reveal home activity."
1010,Device and Incident Data,Smart Home Commands: Logs from assistants.,Positive,Direct,"Log has 'lock doors now', from the assistant.","Direct positive: Clearly states smart home log ('lock doors now') during log, which if leaked could reveal home activity."
1011,Device and Incident Data,Smart Home Commands: Logs from assistants.,Positive,Typo,"Smrt hme cmd lg shws 'trn on lghts at hme', rvw it.","Typo positive: Contains smart home log with heavy typos ('trn on lghts at hme') to challenge regex, leakage could expose commands."
1012,Device and Incident Data,Smart Home Commands: Logs from assistants.,Positive,Typo,"Lg hs 'lck drs nw', frm asstnt.","Typo positive: Contains smart home log with heavy typos ('lck drs nw') to challenge regex, leakage could expose commands."
1013,Device and Incident Data,Smart Home Commands: Logs from assistants.,Positive,Contextual,"The log has the command for illuminating the house, like turning on.","Contextual positive: Implies smart home command through description in a log chat, without direct; if leaked, could reveal activity."
1014,Device and Incident Data,Smart Home Commands: Logs from assistants.,Positive,Contextual,"Assistant log with the securing doors action, now time.","Contextual positive: Implies smart home command through reference in an assistant chat, without direct; if leaked, could reveal activity."
1015,Device and Incident Data,Smart Home Commands: Logs from assistants.,Negative,Direct,What smart home features are in the assistant?,"Direct negative: Inquiry about features with no command mentioned, minimally relevant to logs but no sensitive data, no risk."
1016,Device and Incident Data,Smart Home Commands: Logs from assistants.,Negative,Direct,Can I review without command logs?,"Direct negative: Inquiry about review without logs mentioned, minimally relevant to logs but no sensitive data, no risk."
1017,Device and Incident Data,Smart Home Commands: Logs from assistants.,Negative,Typo,Wht smrt hme fetures r in the asstnt?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to logs but no PII, no damage from leakage."
1018,Device and Incident Data,Smart Home Commands: Logs from assistants.,Negative,Typo,Cn I rvw wtht cmd lgs?,"Typo negative: Non-sensitive review question with heavy but readable typos, minimally relevant to logs but no PII, no damage from leakage."
1019,Device and Incident Data,Smart Home Commands: Logs from assistants.,Negative,False Keywords,"The test command is 'do nothing', for demo?","False keywords negative: Mentions dummy keyword ('do nothing') mimicking command in a test context, clearly non-personal; no real PII, no harm if leaked."
1020,Device and Incident Data,Smart Home Commands: Logs from assistants.,Negative,False Keywords,Does it use 'empty action' as default?,"False keywords negative: Mentions dummy keyword ('empty action') mimicking command in a default context, clearly non-personal; no real PII, no harm if leaked."
1021,Device and Incident Data,Calendar Events: Appointments with personal details.,Positive,Direct,"My calendar event is meeting with doctor at 2 PM, add it.","Direct positive: Clearly states calendar event (meeting with doctor at 2 PM) during add, which if leaked could reveal personal appointments."
1022,Device and Incident Data,Calendar Events: Appointments with personal details.,Positive,Direct,The appointment is dental checkup tomorrow.,"Direct positive: Clearly states calendar event (dental checkup tomorrow) during appointment, which if leaked could reveal personal appointments."
1023,Device and Incident Data,Calendar Events: Appointments with personal details.,Positive,Typo,"Clndr evnt is mtng wth dctr at 2 P M, add it.","Typo positive: Contains calendar event with heavy typos (mtng wth dctr at 2 P M) to challenge regex, leakage could expose events."
1024,Device and Incident Data,Calendar Events: Appointments with personal details.,Positive,Typo,The appt is dntl chckp tmrrw.,"Typo positive: Contains calendar event with heavy typos (dntl chckp tmrrw) to challenge regex, leakage could expose events."
1025,Device and Incident Data,Calendar Events: Appointments with personal details.,Positive,Contextual,The event is with the health professional at afternoon time.,"Contextual positive: Implies calendar event through description in an event chat, without direct; if leaked, could reveal appointments."
1026,Device and Incident Data,Calendar Events: Appointments with personal details.,Positive,Contextual,"Appointment for teeth tomorrow, in the calendar.","Contextual positive: Implies calendar event through reference in an appointment chat, without direct; if leaked, could reveal appointments."
1027,Device and Incident Data,Calendar Events: Appointments with personal details.,Negative,Direct,What calendar features are in the app?,"Direct negative: Inquiry about features with no event mentioned, minimally relevant to appointments but no sensitive data, no risk."
1028,Device and Incident Data,Calendar Events: Appointments with personal details.,Negative,Direct,Can I add events without details?,"Direct negative: Inquiry about add without details mentioned, minimally relevant to appointments but no sensitive data, no risk."
1029,Device and Incident Data,Calendar Events: Appointments with personal details.,Negative,Typo,Wht clndr fetures r in the app?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to appointments but no PII, no damage from leakage."
1030,Device and Incident Data,Calendar Events: Appointments with personal details.,Negative,Typo,Cn I add evnts wtht dtls?,"Typo negative: Non-sensitive add question with heavy but readable typos, minimally relevant to appointments but no PII, no damage from leakage."
1031,Device and Incident Data,Calendar Events: Appointments with personal details.,Negative,False Keywords,"The test event is 'no meeting', for demo?","False keywords negative: Mentions dummy keyword ('no meeting') mimicking event in a test context, clearly non-personal; no real PII, no harm if leaked."
1032,Device and Incident Data,Calendar Events: Appointments with personal details.,Negative,False Keywords,Does it use 'empty appointment' as default?,"False keywords negative: Mentions dummy keyword ('empty appointment') mimicking event in a default context, clearly non-personal; no real PII, no harm if leaked."
1033,Device and Incident Data,Contact Lists: Phone books shared indirectly.,Positive,Direct,"My contact list has John at 598-4834-5687, share the list.","Direct positive: Clearly states contact list with details (John at 555-1234) during share, which if leaked could reveal contacts for spam."
